ensgene_ID	AA9_1	AA9_2	AA9_3	DMSO_1	DMSO_2
"ENSG00000163879"	82	80	96	87	102
"ENSG00000227527"	10	10	10	0	6
"ENSG00000116954"	196	323	336	310	333
"ENSG00000228589"	645	872	825	614	874
"ENSG00000163873"	2	0	0	4	4
"ENSG00000117215"	0	0	0	2	0
"ENSG00000230163"	0	0	0	0	0
"ENSG00000227538"	3	0	0	0	0
"ENSG00000044012"	0	0	0	0	0
"ENSG00000179051"	3919	4824	5125	4515	6342
"ENSG00000215895"	1344	1865	2222	1721	2424
"ENSG00000284650"	0	0	0	0	0
"ENSG00000237329"	233	268	260	247	366
"ENSG00000236948"	6	0	0	0	4
"ENSG00000126067"	3308	3952	4240	3171	4598
"ENSG00000274944"	0	0	1	12	7
"ENSG00000272078"	19	30	52	53	39
"ENSG00000230451"	0	0	0	0	0
"ENSG00000231606"	0	5	10	2	16
"ENSG00000215900"	15	25	24	12	27
"ENSG00000284632"	1	4	6	1	4
"ENSG00000241014"	14	7	16	14	19
"ENSG00000054118"	3801	4323	4789	3986	5468
"ENSG00000254553"	5	3	4	5	8
"ENSG00000284653"	0	0	0	0	0
"ENSG00000237749"	0	6	5	2	0
"ENSG00000276747"	0	12	0	4	0
"ENSG00000284705"	0	0	2	0	0
"ENSG00000228776"	2	0	0	0	0
"ENSG00000159339"	2	2	0	2	1
"ENSG00000261781"	0	0	0	0	0
"ENSG00000284743"	0	0	0	0	0
"ENSG00000158315"	90	144	113	97	80
"ENSG00000186973"	12	15	22	20	11
"ENSG00000146463"	3657	4394	4574	3694	4919
"ENSG00000271741"	0	0	0	0	0
"ENSG00000142686"	292	357	422	307	368
"ENSG00000224751"	282	273	338	307	452
"ENSG00000117148"	0	0	0	0	0
"ENSG00000230585"	112	147	143	152	160
"ENSG00000117000"	3099	3414	4007	3286	4467
"ENSG00000284989"	0	0	0	0	0
"ENSG00000231630"	0	0	0	0	0
"ENSG00000092853"	2598	3197	3396	2619	3282
"ENSG00000255811"	2	11	0	2	16
"ENSG00000134697"	1016	1199	1214	1082	1523
"ENSG00000187513"	16	26	8	28	18
"ENSG00000225142"	0	1	1	0	0
"ENSG00000230138"	0	0	0	0	0
"ENSG00000223390"	13	14	21	10	29
"ENSG00000284720"	0	0	0	0	0
"ENSG00000225671"	426	431	505	443	640
"ENSG00000116151"	513	505	583	471	605
"ENSG00000006555"	2	4	1	0	8
"ENSG00000236111"	0	0	0	0	0
"ENSG00000066056"	3	9	7	6	4
"ENSG00000214114"	633	785	898	767	982
"ENSG00000116544"	14	6	5	10	19
"ENSG00000231900"	2	0	0	0	0
"ENSG00000236723"	13	3	8	12	3
"ENSG00000232467"	485	589	689	668	873
"ENSG00000117016"	294	437	378	411	516
"ENSG00000169213"	980	1110	1213	949	1153
"ENSG00000163866"	680	907	858	685	960
"ENSG00000237130"	53	69	84	69	70
"ENSG00000232335"	0	6	9	6	6
"ENSG00000260971"	70	77	104	47	85
"ENSG00000284696"	3	0	0	0	0
"ENSG00000238242"	0	0	2	2	0
"ENSG00000285839"	0	0	0	0	0
"ENSG00000232762"	25	30	20	43	37
"ENSG00000162384"	540	616	759	611	858
"ENSG00000162391"	2	4	18	6	17
"ENSG00000117859"	2182	2529	2478	2317	3130
"ENSG00000228121"	223	293	376	267	430
"ENSG00000253313"	4	0	0	0	0
"ENSG00000162396"	309	329	365	358	544
"ENSG00000284686"	9	4	17	8	16
"ENSG00000162378"	3481	4016	4290	3497	4653
"ENSG00000233079"	0	0	2	2	0
"ENSG00000259818"	38	49	62	52	46
"ENSG00000229444"	25	38	38	29	55
"ENSG00000240563"	4	0	0	2	4
"ENSG00000234318"	3	3	1	2	0
"ENSG00000284773"	23	38	12	37	38
"ENSG00000234481"	0	0	0	0	0
"ENSG00000117862"	52	66	69	71	73
"ENSG00000235612"	0	0	0	0	1
"ENSG00000228369"	24	31	38	54	31
"ENSG00000227485"	0	0	0	0	0
"ENSG00000224609"	46	40	53	49	98
"ENSG00000235545"	25	32	57	29	52
"ENSG00000236646"	481	572	559	522	622
"ENSG00000232198"	0	1	0	0	0
"ENSG00000238063"	0	0	0	0	0
"ENSG00000227104"	0	0	0	0	0
"ENSG00000243725"	109	153	194	180	246
"ENSG00000171872"	2	0	0	0	0
"ENSG00000162407"	212	284	251	328	342
"ENSG00000285079"	0	6	0	0	2
"ENSG00000163877"	546	603	646	519	784
"ENSG00000228929"	6032	7711	8586	6592	9277
"ENSG00000224570"	70	80	78	111	119
"ENSG00000224980"	0	2	0	1	4
"ENSG00000278967"	144	174	149	135	176
"ENSG00000157184"	421	604	721	548	760
"ENSG00000198815"	2040	2716	2718	2511	3322
"ENSG00000134744"	3773	4673	4766	4427	5759
"ENSG00000233910"	2	0	0	6	0
"ENSG00000287703"	0	0	0	0	0
"ENSG00000283039"	3	4	2	0	0
"ENSG00000229032"	8	4	0	2	2
"ENSG00000229294"	70	81	84	62	109
"ENSG00000234088"	0	2	0	0	0
"ENSG00000236973"	17	30	18	12	26
"ENSG00000277397"	1	0	0	0	0
"ENSG00000235446"	0	3	4	2	1
"ENSG00000162385"	263	304	428	336	369
"ENSG00000234264"	20	20	11	17	14
"ENSG00000223883"	4	13	6	14	2
"ENSG00000237227"	0	0	0	0	0
"ENSG00000275350"	0	0	0	0	2
"ENSG00000116652"	164	203	159	174	254
"ENSG00000123080"	554	718	762	625	830
"ENSG00000285778"	0	0	0	0	0
"ENSG00000233407"	0	0	0	0	0
"ENSG00000225675"	0	1	1	7	2
"ENSG00000237622"	66	51	56	73	98
"ENSG00000162598"	0	1	0	0	0
"ENSG00000280317"	0	0	0	0	0
"ENSG00000162415"	534	666	702	584	815
"ENSG00000162600"	1018	1090	1091	1010	1446
"ENSG00000116704"	1557	1933	1951	1648	2208
"ENSG00000157193"	1052	1292	1232	1406	1890
"ENSG00000116205"	2119	2733	2738	2943	3769
"ENSG00000198841"	104	120	139	129	149
"ENSG00000116212"	238	200	254	160	323
"ENSG00000234204"	0	1	2	0	0
"ENSG00000233099"	6	4	7	0	4
"ENSG00000233994"	936	1174	1330	1053	1292
"ENSG00000233973"	16	22	19	11	5
"ENSG00000132854"	0	0	0	0	0
"ENSG00000227556"	6	8	6	4	7
"ENSG00000162607"	4483	6049	6164	4938	6644
"ENSG00000285954"	0	0	2	0	0
"ENSG00000233333"	10	12	2	7	0
"ENSG00000154027"	174	261	242	152	226
"ENSG00000234108"	0	0	0	0	4
"ENSG00000232676"	2	7	7	2	8
"ENSG00000225167"	5	0	2	0	0
"ENSG00000213579"	7	26	13	17	29
"ENSG00000137960"	12	34	24	21	13
"ENSG00000237852"	16	15	18	9	5
"ENSG00000116745"	2	0	2	0	0
"ENSG00000132855"	256	307	446	378	399
"ENSG00000285407"	28	49	26	26	32
"ENSG00000270549"	16	5	10	16	33
"ENSG00000237163"	0	0	3	1	2
"ENSG00000229636"	0	0	0	0	0
"ENSG00000116675"	711	746	784	761	1027
"ENSG00000162433"	3747	4666	4706	3695	4778
"ENSG00000213625"	1380	1688	1678	1486	1849
"ENSG00000227207"	4	21	26	14	19
"ENSG00000227016"	0	6	3	13	3
"ENSG00000233664"	0	0	5	0	0
"ENSG00000158966"	1885	2273	2345	2095	2654
"ENSG00000213703"	8	15	8	20	29
"ENSG00000203965"	524	722	716	726	893
"ENSG00000223479"	0	0	0	0	0
"ENSG00000233674"	58	57	50	48	58
"ENSG00000153898"	350	519	491	549	704
"ENSG00000117069"	74	71	84	92	92
"ENSG00000125703"	700	997	937	956	1370
"ENSG00000285041"	0	2	0	2	4
"ENSG00000285808"	11	14	10	3	7
"ENSG00000229440"	2	0	0	0	1
"ENSG00000234144"	14	32	15	5	14
"ENSG00000277670"	0	0	0	0	0
"ENSG00000227466"	4	0	4	0	2
"ENSG00000230498"	98	113	98	55	63
"ENSG00000285782"	3	0	5	0	2
"ENSG00000162618"	0	0	0	0	0
"ENSG00000224493"	42	58	51	28	48
"ENSG00000131233"	14	15	17	18	24
"ENSG00000272371"	17	22	31	12	39
"ENSG00000287647"	5	0	18	2	8
"ENSG00000229225"	0	0	0	0	0
"ENSG00000230863"	259	385	345	302	433
"ENSG00000225598"	0	0	0	0	0
"ENSG00000286455"	0	0	0	0	0
"ENSG00000225087"	16	23	28	33	39
"ENSG00000280378"	44	47	56	35	35
"ENSG00000230053"	69	90	54	60	95
"ENSG00000137941"	1124	1268	1373	1067	1509
"ENSG00000224326"	0	0	0	4	0
"ENSG00000286548"	40	62	47	106	64
"ENSG00000066135"	283	324	355	256	462
"ENSG00000272094"	7	6	6	0	2
"ENSG00000228853"	0	0	0	0	0
"ENSG00000232453"	1	2	11	4	7
"ENSG00000260386"	4	9	0	0	0
"ENSG00000284895"	0	0	0	0	0
"ENSG00000117174"	1362	1884	1917	1662	2154
"ENSG00000237413"	51	41	42	29	60
"ENSG00000184313"	2	6	0	4	15
"ENSG00000284645"	0	0	0	0	2
"ENSG00000225446"	25	31	24	30	45
"ENSG00000288543"	28	14	8	11	34
"ENSG00000122420"	1021	1231	1374	1397	1701
"ENSG00000284240"	0	0	2	0	2
"ENSG00000236290"	5	0	5	1	2
"ENSG00000143013"	1015	1178	1220	1142	1573
"ENSG00000226084"	2954	3678	4101	3489	4982
"ENSG00000134748"	1995	2387	2525	2079	2808
"ENSG00000142892"	1810	2146	2308	2012	2642
"ENSG00000219102"	29	50	48	24	48
"ENSG00000287743"	17	17	9	6	17
"ENSG00000229332"	0	0	0	0	0
"ENSG00000227937"	0	0	0	0	0
"ENSG00000229752"	1	0	0	0	0
"ENSG00000237505"	167	163	215	270	280
"ENSG00000285462"	0	0	0	0	0
"ENSG00000233216"	40	42	52	37	72
"ENSG00000197273"	2	4	0	1	5
"ENSG00000226804"	0	0	0	0	0
"ENSG00000230728"	0	0	0	0	1
"ENSG00000232846"	8	16	22	26	46
"ENSG00000230787"	2659	3741	3675	3031	4201
"ENSG00000116641"	3331	4225	4247	3707	4653
"ENSG00000237453"	0	0	0	0	0
"ENSG00000172260"	18	38	35	31	45
"ENSG00000285473"	0	8	10	8	6
"ENSG00000237959"	4	3	6	7	5
"ENSG00000231364"	2	1	0	2	1
"ENSG00000234578"	0	0	0	1	0
"ENSG00000137944"	625	778	883	730	883
"ENSG00000229505"	0	3	2	9	3
"ENSG00000228187"	139	137	142	142	156
"ENSG00000182183"	9	4	14	9	9
"ENSG00000236407"	0	2	0	0	0
"ENSG00000271949"	0	0	0	0	0
"ENSG00000227062"	0	0	0	0	0
"ENSG00000067334"	2090	2465	2785	2023	2739
"ENSG00000235011"	0	0	0	0	0
"ENSG00000226938"	0	0	0	0	0
"ENSG00000213559"	0	2	0	2	0
"ENSG00000287587"	0	4	0	0	0
"ENSG00000142949"	3860	4393	4430	4249	6048
"ENSG00000116133"	3406	3835	4033	2647	4077
"ENSG00000232882"	307	378	339	303	366
"ENSG00000171502"	193	231	207	190	277
"ENSG00000116157"	0	4	2	0	12
"ENSG00000143036"	60	98	136	97	118
"ENSG00000230817"	74	117	114	108	122
"ENSG00000065243"	3836	4986	5252	4375	5675
"ENSG00000226759"	19	15	28	26	42
"ENSG00000226960"	6	0	0	0	0
"ENSG00000234080"	7	5	1	2	1
"ENSG00000237899"	13	2	2	0	1
"ENSG00000227290"	22	25	31	14	33
"ENSG00000282898"	0	0	0	0	0
"ENSG00000285409"	0	0	0	0	0
"ENSG00000231090"	0	1	0	0	3
"ENSG00000117528"	1906	2392	2524	1974	2865
"ENSG00000271723"	0	2	0	0	0
"ENSG00000172339"	392	381	465	321	404
"ENSG00000036549"	4426	5388	5547	4920	6470
"ENSG00000287724"	64	64	80	49	66
"ENSG00000058799"	171	137	188	161	209
"ENSG00000225191"	23	22	33	26	49
"ENSG00000287870"	19	17	38	25	27
"ENSG00000232048"	0	6	0	2	0
"ENSG00000232857"	6	9	2	9	4
"ENSG00000273637"	0	0	0	0	0
"ENSG00000203985"	0	3	1	0	0
"ENSG00000228838"	6	24	20	26	39
"ENSG00000283761"	140	180	176	135	199
"ENSG00000189433"	2	5	2	6	2
"ENSG00000230759"	0	0	0	0	0
"ENSG00000179178"	0	0	0	0	0
"ENSG00000142700"	22	18	25	6	10
"ENSG00000285525"	0	0	0	0	0
"ENSG00000236098"	0	0	0	0	0
"ENSG00000233514"	692	989	1036	891	1189
"ENSG00000127124"	273	429	324	368	401
"ENSG00000266993"	112	125	165	101	107
"ENSG00000223675"	4	1	0	2	7
"ENSG00000229316"	0	0	2	0	0
"ENSG00000287406"	12	27	23	4	8
"ENSG00000225767"	207	249	210	176	273
"ENSG00000234099"	0	0	0	4	0
"ENSG00000137936"	213	253	279	265	344
"ENSG00000235308"	18	4	22	14	31
"ENSG00000232752"	1	0	0	2	0
"ENSG00000235829"	12	17	18	4	24
"ENSG00000143032"	106	103	124	82	142
"ENSG00000226745"	884	1228	1192	1032	1228
"ENSG00000280040"	12	0	2	4	6
"ENSG00000117519"	2332	2761	2911	2114	2894
"ENSG00000270507"	1	1	0	0	5
"ENSG00000238037"	0	0	0	0	0
"ENSG00000215869"	36	53	42	41	59
"ENSG00000134215"	129	162	200	154	237
"ENSG00000227935"	2	0	0	0	0
"ENSG00000228502"	710	688	724	657	865
"ENSG00000236268"	10	26	24	21	33
"ENSG00000271277"	0	0	0	0	0
"ENSG00000236888"	4	2	0	0	2
"ENSG00000279778"	2	2	0	0	6
"ENSG00000230828"	0	0	0	0	0
"ENSG00000188641"	8	12	2	1	4
"ENSG00000152078"	1006	1065	1329	1070	1354
"ENSG00000233359"	0	0	0	0	0
"ENSG00000237954"	0	0	0	0	0
"ENSG00000171492"	1003	1409	1251	1214	1541
"ENSG00000233129"	2	0	0	0	0
"ENSG00000170989"	89	91	70	63	153
"ENSG00000233557"	0	0	0	0	0
"ENSG00000237897"	143	267	305	200	286
"ENSG00000116299"	44	30	32	17	38
"ENSG00000137962"	1061	1328	1305	1343	1689
"ENSG00000227832"	0	0	0	0	0
"ENSG00000286692"	0	1	4	0	4
"ENSG00000260464"	32	28	53	40	54
"ENSG00000237435"	0	0	0	0	2
"ENSG00000231996"	4	4	2	1	0
"ENSG00000273204"	4	0	6	12	18
"ENSG00000079739"	1190	1519	1640	1360	1752
"ENSG00000117154"	2	10	2	6	5
"ENSG00000162377"	1506	1538	1710	1463	2041
"ENSG00000224613"	3	6	8	8	1
"ENSG00000215871"	365	403	449	336	416
"ENSG00000287372"	0	0	0	4	0
"ENSG00000232542"	0	0	0	0	0
"ENSG00000116774"	12	19	9	6	18
"ENSG00000287756"	20	19	40	25	59
"ENSG00000284652"	6	0	0	8	6
"ENSG00000023909"	1120	1276	1573	927	1331
"ENSG00000069702"	924	1187	1183	989	1309
"ENSG00000232185"	1	10	11	0	9
"ENSG00000230489"	0	5	3	6	2
"ENSG00000228399"	5	15	12	2	16
"ENSG00000236776"	0	9	3	6	8
"ENSG00000224685"	0	0	0	0	0
"ENSG00000287076"	2	1	2	10	0
"ENSG00000237480"	0	0	0	0	0
"ENSG00000271252"	0	0	0	0	0
"ENSG00000230427"	21	26	41	51	46
"ENSG00000235794"	0	2	0	0	0
"ENSG00000286758"	0	4	4	3	8
"ENSG00000237337"	0	0	0	0	0
"ENSG00000233983"	0	0	0	0	0
"ENSG00000198198"	1727	2142	2040	1749	2416
"ENSG00000225183"	20	31	70	45	39
"ENSG00000230402"	0	0	0	0	0
"ENSG00000116793"	867	1039	1098	957	1019
"ENSG00000238122"	0	0	0	0	0
"ENSG00000260879"	0	0	0	0	0
"ENSG00000283354"	0	0	0	0	0
"ENSG00000232918"	0	0	0	0	0
"ENSG00000183298"	573	789	937	664	956
"ENSG00000234332"	877	897	967	894	1018
"ENSG00000117525"	126	146	147	134	171
"ENSG00000225079"	0	0	0	2	0
"ENSG00000226483"	0	0	0	0	0
"ENSG00000224238"	59	72	99	127	120
"ENSG00000229537"	0	0	0	0	0
"ENSG00000162699"	2	0	2	1	0
"ENSG00000162692"	5	13	8	22	4
"ENSG00000203914"	2743	3352	3956	3324	4452
"ENSG00000270457"	2	7	5	1	2
"ENSG00000203858"	0	1	6	0	0
"ENSG00000231987"	0	0	0	0	0
"ENSG00000228057"	993	1237	1322	1065	1355
"ENSG00000224445"	0	0	5	0	0
"ENSG00000229842"	0	0	0	0	0
"ENSG00000270631"	0	0	0	0	0
"ENSG00000229201"	0	2	2	0	1
"ENSG00000181656"	8	6	18	14	7
"ENSG00000122481"	166	180	233	178	219
"ENSG00000198162"	3584	4166	4777	3640	4783
"ENSG00000238198"	897	1043	1020	839	1135
"ENSG00000171517"	562	691	679	653	913
"ENSG00000228852"	23	71	37	30	79
"ENSG00000203864"	0	0	0	0	0
"ENSG00000233482"	0	0	0	0	0
"ENSG00000230250"	0	0	0	0	0
"ENSG00000232878"	0	0	0	0	2
"ENSG00000143079"	1490	1799	1935	1514	2087
"ENSG00000232450"	55	47	65	48	86
"ENSG00000223575"	42	57	35	45	110
"ENSG00000230768"	0	0	5	0	0
"ENSG00000235202"	0	0	0	0	0
"ENSG00000272715"	0	2	9	3	1
"ENSG00000235038"	3	9	6	16	13
"ENSG00000085491"	1401	1687	1870	1472	2032
"ENSG00000173947"	6	17	19	3	8
"ENSG00000230434"	2	0	0	0	0
"ENSG00000230718"	0	0	0	0	0
"ENSG00000134198"	166	213	183	209	255
"ENSG00000235595"	1	0	2	0	0
"ENSG00000226053"	0	0	0	0	0
"ENSG00000226128"	0	0	0	0	0
"ENSG00000198799"	3196	3863	3998	3848	5058
"ENSG00000279513"	79	89	64	78	107
"ENSG00000117620"	2428	2759	2886	2607	3441
"ENSG00000280186"	6	3	2	9	11
"ENSG00000223906"	2	0	0	0	0
"ENSG00000162688"	2583	2932	3198	2592	3561
"ENSG00000197106"	56	65	87	50	67
"ENSG00000259946"	0	0	0	0	0
"ENSG00000236137"	44	57	58	50	59
"ENSG00000203859"	7	0	8	0	10
"ENSG00000228086"	3	10	8	6	2
"ENSG00000213421"	0	4	0	0	0
"ENSG00000234020"	2	3	7	6	7
"ENSG00000236804"	60	19	32	30	41
"ENSG00000231072"	0	0	2	1	0
"ENSG00000273406"	0	0	0	0	2
"ENSG00000185946"	657	866	904	934	1230
"ENSG00000162627"	269	295	307	301	424
"ENSG00000226715"	0	0	0	0	0
"ENSG00000162695"	3178	3735	4154	3028	4126
"ENSG00000265808"	2768	3223	3708	2941	4154
"ENSG00000225923"	55	81	130	88	104
"ENSG00000134247"	2398	2921	2839	2534	3196
"ENSG00000187481"	2	0	0	0	6
"ENSG00000162664"	3648	4803	5097	4507	5769
"ENSG00000236866"	0	2	0	2	0
"ENSG00000134253"	397	474	396	520	670
"ENSG00000223416"	25	42	29	35	69
"ENSG00000179571"	2	2	0	0	0
"ENSG00000227850"	146	191	191	181	210
"ENSG00000235777"	0	1	0	0	8
"ENSG00000285532"	87	107	119	95	178
"ENSG00000226755"	44	58	72	91	87
"ENSG00000232650"	15	20	16	12	8
"ENSG00000183508"	145	174	202	181	327
"ENSG00000277095"	3	8	3	9	9
"ENSG00000234283"	2	4	3	8	0
"ENSG00000232780"	0	0	0	0	2
"ENSG00000274927"	1	0	0	0	0
"ENSG00000264145"	0	0	0	1	0
"ENSG00000238256"	3	5	12	5	11
"ENSG00000198765"	0	1	0	0	0
"ENSG00000224335"	0	2	2	1	0
"ENSG00000277702"	8	15	7	3	8
"ENSG00000143398"	3447	4222	4684	3718	4851
"ENSG00000196505"	2605	3119	3331	3230	3968
"ENSG00000223489"	0	0	0	0	2
"ENSG00000230546"	4	0	2	0	0
"ENSG00000213262"	1	4	0	8	4
"ENSG00000287015"	2	16	3	6	5
"ENSG00000235526"	4	24	7	7	9
"ENSG00000228347"	0	0	0	0	0
"ENSG00000236012"	4	6	10	5	4
"ENSG00000270911"	0	0	4	0	0
"ENSG00000134200"	2	1	2	0	12
"ENSG00000065183"	1069	1312	1348	1421	1884
"ENSG00000227082"	32	52	31	35	35
"ENSG00000226126"	0	0	0	0	0
"ENSG00000163393"	339	348	383	302	459
"ENSG00000163156"	153	234	195	143	192
"ENSG00000143631"	6	0	8	0	0
"ENSG00000228453"	2	0	1	0	0
"ENSG00000274642"	10	11	7	8	20
"ENSG00000237975"	2	0	0	0	0
"ENSG00000261168"	50	55	64	53	53
"ENSG00000287980"	0	0	0	0	0
"ENSG00000229283"	1	1	0	0	0
"ENSG00000226172"	4	7	9	1	2
"ENSG00000079335"	228	320	288	321	381
"ENSG00000143119"	15	23	36	12	3
"ENSG00000237278"	0	0	0	0	0
"ENSG00000233432"	235	252	299	309	360
"ENSG00000227700"	0	0	0	0	0
"ENSG00000229911"	57	88	83	53	75
"ENSG00000143520"	0	0	0	0	2
"ENSG00000171943"	1632	2061	2165	2026	2460
"ENSG00000270719"	0	0	2	4	0
"ENSG00000155761"	59	72	64	28	84
"ENSG00000230806"	79	130	122	77	137
"ENSG00000116830"	3272	4190	4079	4329	5783
"ENSG00000234422"	77	103	97	77	136
"ENSG00000227056"	140	136	91	136	148
"ENSG00000227091"	4	14	8	0	2
"ENSG00000081026"	2847	3475	3510	3338	4196
"ENSG00000224965"	3	12	7	6	10
"ENSG00000228127"	4	2	5	2	2
"ENSG00000143458"	1071	1520	1391	1176	1514
"ENSG00000230932"	0	1	0	0	2
"ENSG00000073754"	0	4	0	0	0
"ENSG00000228826"	6	6	2	3	10
"ENSG00000233907"	2	0	0	0	2
"ENSG00000225036"	0	0	0	0	0
"ENSG00000228420"	1	0	0	0	0
